book_author,book_link,book_title,file_type_size,language,rate_interest,rate_quality,year
Jamie Chan,https://tr.eg1lib.org/book/2519956/2c2800,Learn Python in One Day and Learn It Well,"EPUB, 397 KB",english,5.0,5.0,2015
John Paul Mueller,https://tr.eg1lib.org/book/3601991/d7c3d6,Beginning Programming with Python for Dummies,"PDF, 8.61 MB",english,5.0,5.0,2018
Matt Harrison,https://tr.eg1lib.org/book/3673710/96f062,Illustrated Guide to Python 3: A Complete Walkthrough of Beginning Python with Unique Illustrations Showing how Python Really Works,"EPUB, 3.12 MB",english,5.0,5.0,2017
H. Bhasin,https://tr.eg1lib.org/book/3641986/812370,Python Basics: A Self-Teaching Introduction,"PDF, 11.64 MB",english,4.0,4.5,2019
Andreas C. Müller,https://tr.eg1lib.org/book/2600143/062a5c,Introduction to Machine Learning with Python: A Guide for Data Scientists,"PDF, 31.62 MB",english,5.0,5.0,2016
Eric Matthes,https://tr.eg1lib.org/book/4995914/5d84d3,"Python Crash Course, 2nd Edition","PDF, 6.69 MB",english,5.0,5.0,2019
Zed A. Shaw,https://tr.eg1lib.org/book/3492905/ebdb92,Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code,"PDF, 2.86 MB",english,5.0,5.0,2017
Joel Grus,https://tr.eg1lib.org/book/4989630/29a81f,"Data Science from Scratch: First Principles with Python, Second Edition","EPUB, 4.65 MB",english,4.5,5.0,2019
Wes McKinney,https://tr.eg1lib.org/book/3367370/62327b,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","PDF, 12.52 MB",english,5.0,5.0,2017
Chris Albon,https://tr.eg1lib.org/book/3606405/f316a4,Python Machine Learning Cookbook: Practical Solutions from Preprocessing to Deep Learning,"PDF, 4.59 MB",english,4.0,5.0,2018
John Shovic,https://tr.eg1lib.org/book/4992130/b9786d,Python All-In-One for Dummies,"PDF, 40.89 MB",english,5.0,5.0,2019
Robert Johansson,https://tr.eg1lib.org/book/3649126/4409f0,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib","PDF, 23.46 MB",english,5.0,5.0,2019
Nichola Lacey,https://tr.eg1lib.org/book/5064269/1c9a1f,Python by Example - Learning to Program in 150 Challenges,"PDF, 9.79 MB",english,5.0,5.0,2019
Luciano Ramalho,https://tr.eg1lib.org/book/2575636/8f8e85,Fluent Python,"PDF, 17.53 MB",english,5.0,4.0,2015
Dan Bader,https://tr.eg1lib.org/book/3525476/83453b,Python Tricks: A Buffet of Awesome Python Features,"PDF, 1.25 MB",english,5.0,5.0,2017
David Kopec,https://tr.eg1lib.org/book/3709687/b9b52a,Classic Computer Science Problems in Python,"PDF, 4.28 MB",english,5.0,5.0,2019
